#TYPE System.Management.Automation.PSCustomObject
"Name","Votes","Date","Rank","CID"
"ハローキティ","108214","2012/07/13 0:00:00","1","28"
"マイメロディ","94102","2012/07/13 0:00:00","2","3"
"リトルツインスターズ","73600","2012/07/13 0:00:00","3","54"
"シナモロール","54573","2012/07/13 0:00:00","4","77"
"ポムポムプリン","49273","2012/07/13 0:00:00","5","78"
"ジュエルペット","48267","2012/07/13 0:00:00","6","95"
"けろけろけろっぴ","25513","2012/07/13 0:00:00","7","34"
"ゴーエクスパンダ（ゴーちゃん。）","21727","2012/07/13 0:00:00","8","100"
"クロミ","21285","2012/07/13 0:00:00","9","9"
"チャーミーキティ","20457","2012/07/13 0:00:00","10","31"
"タキシードサム","20285","2012/07/13 0:00:00","11","22"
"ウィッシュミー　メル","18972","2012/07/13 0:00:00","12","5"
"ポチャッコ","17728","2012/07/13 0:00:00","13","79"
"マイマイ","17292","2012/07/13 0:00:00","14","80"
"パティ＆ジミー","15141","2012/07/13 0:00:00","15","69"
"バッドばつ丸","14305","2012/07/13 0:00:00","16","15"
"シュガーバニーズ","13470","2012/07/13 0:00:00","17","51"
"あひるのペックル","12721","2012/07/13 0:00:00","18","93"
"ハンギョドン","9882","2012/07/13 0:00:00","19","14"
"マロンクリーム","9571","2012/07/13 0:00:00","20","19"
"ディアダニエル","8308","2012/07/13 0:00:00","21","21"
"シンカンセン","8028","2012/07/13 0:00:00","22","74"
"おさるのもんきち","7905","2012/07/13 0:00:00","23","35"
"マシュマロみたいなふわふわにゃんこ","7685","2012/07/13 0:00:00","24","24"
"ウサハナ","7391","2012/07/13 0:00:00","25","1"
"チアリーチャム","6407","2012/07/13 0:00:00","26","12"
"ゴロ・ピカ・ドン","6206","2012/07/13 0:00:00","27","39"
"みんなのたあ坊","6018","2012/07/13 0:00:00","28","85"
"コロコロクリリン","5136","2012/07/13 0:00:00","29","8"
"ミスベアーズドリーム","4592","2012/07/13 0:00:00","30","41"
"シュガーメヌエット","4352","2012/07/13 0:00:00","31","53"
"パタパタペッピー","4250","2012/07/13 0:00:00","32","47"
"ニャ ニィ ニュ ニェ ニョン","4073","2012/07/13 0:00:00","33","44"
"ニョッキ＆ペンネ","3736","2012/07/13 0:00:00","34","26"
"バニー＆マッティ","3658","2012/07/13 0:00:00","35","2"
"カカオとバニラ","3580","2012/07/13 0:00:00","36","52"
"てのりくま","3270","2012/07/13 0:00:00","37","67"
"ぱんくんち","3161","2012/07/13 0:00:00","38","96"
"ぽこぽん日記","3003","2012/07/13 0:00:00","39","84"
"フランボアルゥルゥ","2930","2012/07/13 0:00:00","40","25"
"ザ　ボードビルデュオ","2880","2012/07/13 0:00:00","41","68"
"いちごの王さま","2766","2012/07/13 0:00:00","42","83"
"セブンシリードワーフス","2642","2012/07/13 0:00:00","43","46"
"ザシキブタ","2517","2012/07/13 0:00:00","44","20"
"ちびまる","2409","2012/07/13 0:00:00","45","81"
"パウ　ピポ","2338","2012/07/13 0:00:00","46","71"
"タイニーポエム","2319","2012/07/13 0:00:00","47","58"
"ザ　ラナバウツ","2029","2012/07/13 0:00:00","48","75"
"るるる学園","1880","2012/07/13 0:00:00","49","94"
"ボタンノーズ","1875","2012/07/13 0:00:00","50","17"
"チョコキャット","1874","2012/07/13 0:00:00","51","32"
"メローチューン","1812","2012/07/13 0:00:00","52","27"
"ノラネコランド","1767","2012/07/13 0:00:00","53","40"
"たらいぐまのらんどりー","1719","2012/07/13 0:00:00","54","10"
"ぽんぽんひえた","1671","2012/07/13 0:00:00","55","38"
"プワワ","1651","2012/07/13 0:00:00","56","92"
"ウメ屋雑貨店","1608","2012/07/13 0:00:00","57","57"
"パンナピッタ","1523","2012/07/13 0:00:00","58","99"
"ウィー・メリールー","1482","2012/07/13 0:00:00","59","16"
"ミスター　ベアーズ　ドリーム","1463","2012/07/13 0:00:00","60","42"
"スウィートコロン","1343","2012/07/13 0:00:00","61","73"
"ビートロイド","1268","2012/07/13 0:00:00","62","13"
"パンダップル","1265","2012/07/13 0:00:00","63","98"
"八千代チャーマー","1179","2012/07/13 0:00:00","64","56"
"キッズベア","1176","2012/07/13 0:00:00","65","64"
"ウィンキーピンキー","1175","2012/07/13 0:00:00","66","30"
"ねむっこにゃーご","1082","2012/07/13 0:00:00","67","29"
"ディアリー　ルー","1044","2012/07/13 0:00:00","68","49"
"ちょこぱんだ","995","2012/07/13 0:00:00","69","97"
"こぶたのピッポ","967","2012/07/13 0:00:00","70","36"
"へーすけ","936","2012/07/13 0:00:00","71","37"
"スモールピープル","930","2012/07/13 0:00:00","72","18"
"ミミックマイク","900","2012/07/13 0:00:00","73","82"
"コロちゃん","867","2012/07/13 0:00:00","74","62"
"カルチャーショック","865","2012/07/13 0:00:00","75","60"
"おきがるふれんず","850","2012/07/13 0:00:00","76","6"
"シュガークリームパフ","850","2012/07/13 0:00:00","76","43"
"ララバイラバブルズ","777","2012/07/13 0:00:00","78","55"
"ウィアー　ダイナソアーズ","709","2012/07/13 0:00:00","79","11"
"だちょのすけ","653","2012/07/13 0:00:00","80","70"
"ブーギーウー","619","2012/07/13 0:00:00","81","45"
"フレンドリーコッコちゃん","615","2012/07/13 0:00:00","82","33"
"てつなぎクマ","614","2012/07/13 0:00:00","83","63"
"ボ・ボクねずみ小僧だい！","558","2012/07/13 0:00:00","84","59"
"ギミーファイブ","537","2012/07/13 0:00:00","85","90"
"プカプカパラダイス","484","2012/07/13 0:00:00","86","87"
"スティル スモール テールズ","456","2012/07/13 0:00:00","87","72"
"リトルコットンウッドコテージ","436","2012/07/13 0:00:00","88","50"
"トゥイーディードロップス","434","2012/07/13 0:00:00","89","7"
"ピーター　デイビス","434","2012/07/13 0:00:00","89","23"
"スパンキーバロー","434","2012/07/13 0:00:00","89","48"
"ベアロビクス","432","2012/07/13 0:00:00","92","61"
"ロビーラビット","426","2012/07/13 0:00:00","93","4"
"ホリーズベアー","423","2012/07/13 0:00:00","94","66"
"スポッティドッティ","361","2012/07/13 0:00:00","95","76"
"カッパルンバ","343","2012/07/13 0:00:00","96","86"
"キャプテンウィリー","317","2012/07/13 0:00:00","97","88"
"トゥィードルディーディー","314","2012/07/13 0:00:00","98","65"
"ファン　カム　アライブ","281","2012/07/13 0:00:00","99","89"
"ゲーターギャグス","253","2012/07/13 0:00:00","100","91"
