"Name","Votes","Date","Rank","CID"
"ハローキティ","137669","2012/07/27 0:00:00","1","28"
"マイメロディ","122980","2012/07/27 0:00:00","2","3"
"リトルツインスターズ","90905","2012/07/27 0:00:00","3","54"
"シナモロール","73241","2012/07/27 0:00:00","4","77"
"ポムポムプリン","64443","2012/07/27 0:00:00","5","78"
"ジュエルペット","59353","2012/07/27 0:00:00","6","95"
"けろけろけろっぴ","32488","2012/07/27 0:00:00","7","34"
"クロミ","27893","2012/07/27 0:00:00","8","9"
"ゴーエクスパンダ（ゴーちゃん。）","27843","2012/07/27 0:00:00","9","100"
"チャーミーキティ","26401","2012/07/27 0:00:00","10","31"
"タキシードサム","26377","2012/07/27 0:00:00","11","22"
"ウィッシュミー　メル","24399","2012/07/27 0:00:00","12","5"
"あひるのペックル","23941","2012/07/27 0:00:00","13","93"
"ポチャッコ","22769","2012/07/27 0:00:00","14","79"
"マイマイ","21353","2012/07/27 0:00:00","15","80"
"パティ＆ジミー","18548","2012/07/27 0:00:00","16","69"
"バッドばつ丸","18415","2012/07/27 0:00:00","17","15"
"シュガーバニーズ","16726","2012/07/27 0:00:00","18","51"
"ハンギョドン","12135","2012/07/27 0:00:00","19","14"
"マロンクリーム","12020","2012/07/27 0:00:00","20","19"
"ディアダニエル","10999","2012/07/27 0:00:00","21","21"
"おさるのもんきち","10039","2012/07/27 0:00:00","22","35"
"シンカンセン","9841","2012/07/27 0:00:00","23","74"
"マシュマロみたいなふわふわにゃんこ","9769","2012/07/27 0:00:00","24","24"
"ウサハナ","9760","2012/07/27 0:00:00","25","1"
"チアリーチャム","8101","2012/07/27 0:00:00","26","12"
"ゴロ・ピカ・ドン","7597","2012/07/27 0:00:00","27","39"
"みんなのたあ坊","7399","2012/07/27 0:00:00","28","85"
"コロコロクリリン","6426","2012/07/27 0:00:00","29","8"
"ミスベアーズドリーム","5640","2012/07/27 0:00:00","30","41"
"シュガーメヌエット","5492","2012/07/27 0:00:00","31","53"
"パタパタペッピー","5334","2012/07/27 0:00:00","32","47"
"ニャ ニィ ニュ ニェ ニョン","4957","2012/07/27 0:00:00","33","44"
"ニョッキ＆ペンネ","4770","2012/07/27 0:00:00","34","26"
"カカオとバニラ","4619","2012/07/27 0:00:00","35","52"
"バニー＆マッティ","4480","2012/07/27 0:00:00","36","2"
